country,city,year,population
Albania,Berat,800,NA
Albania,Delvina,800,NA
Albania,Durres,800,NA
Albania,Elbasan,800,NA
Albania,Gjirokaster,800,NA
Albania,Korca,800,NA
Albania,Kruja,800,NA
Albania,Peqin,800,NA
Albania,Permet,800,NA
Albania,Shkoder,800,NA
Albania,Tirane,800,NA
Albania,Vlora,800,NA
Albania,Voskpoje,800,NA
Austria,Bad Ischl,800,NA
Austria,Dornbirn,800,NA
Austria,Eisenstadt,800,NA
Austria,Gmunden,800,NA
Austria,Graz,800,NA
Austria,Innsbruck,800,NA
Austria,Klagenfurt,800,NA
Austria,Krems,800,NA
Austria,Linz,800,NA
Austria,Mattersburg,800,NA
Austria,Neunkirchen,800,NA
Austria,Salzburg,800,NA
Austria,Schwaz,800,NA
Austria,Steyr,800,NA
Austria,Wels,800,NA
Austria,Wien,800,NA
Austria,Wiener Neustadt,800,NA
Belgium,Aalst,800,NA
Belgium,Aarschot,800,NA
Belgium,Antwerpen,800,NA
Belgium,Ardooie,800,NA
Belgium,Arlon,800,NA
Belgium,Ath,800,NA
Belgium,Beveren,800,NA
Belgium,Binche,800,NA
Belgium,Bouillon,800,NA
Belgium,Brugge,800,NA
Belgium,Bruxelles,800,NA
Belgium,Charleroi,800,NA
Belgium,Deinze,800,NA
Belgium,Dendermonde,800,NA
Belgium,Diest,800,NA
Belgium,Dinant,800,NA
Belgium,Dour,800,NA
Belgium,Eekloo,800,NA
Belgium,Enghien,800,NA
Belgium,Eupen,800,NA
Belgium,Evergem,800,NA
Belgium,Geeraardsbergen,800,NA
Belgium,Gent,800,NA
Belgium,Halle,800,NA
Belgium,Hamme,800,NA
Belgium,Hasselt,800,NA
Belgium,Huy,800,NA
Belgium,Ieper,800,NA
Belgium,Izegem,800,NA
Belgium,Jumet,800,NA
Belgium,Kortrijk,800,NA
Belgium,Kruishoutem,800,NA
Belgium,Leuven,800,NA
Belgium,Liege,800,NA
Belgium,Lier,800,NA
Belgium,Lokeren,800,NA
Belgium,Malmedy,800,NA
Belgium,Mechelen,800,NA
Belgium,Menen,800,NA
Belgium,Meulebeke,800,NA
Belgium,Mons,800,NA
Belgium,Namur,800,NA
Belgium,Nieuwpoort,800,NA
Belgium,Nivelles,800,NA
Belgium,Oostende,800,NA
Belgium,Oudenaarde,800,NA
Belgium,Peruwelz,800,NA
Belgium,Poperinge,800,NA
Belgium,Roeselare,800,NA
Belgium,Ronse,800,NA
Belgium,Ruiselede,800,NA
Belgium,Soignies,800,NA
Belgium,Spa,800,NA
Belgium,St-Niklaas,800,NA
Belgium,St-Truiden,800,NA
Belgium,Temse,800,NA
Belgium,Thuin,800,NA
Belgium,Tielt,800,NA
Belgium,Tienen,800,NA
Belgium,Tongeren,800,NA
Belgium,Torhout,800,NA
Belgium,Tournai,800,NA
Belgium,Turnhout,800,NA
Belgium,Verviers,800,NA
Belgium,Veurne,800,NA
Belgium,Waregem,800,NA
Belgium,Wavre,800,NA
Belgium,Wetteren,800,NA
Belgium,Wingene,800,NA
Belgium,Zele,800,NA
Belgium,Zomergem,800,NA
Belgium,Zoutleeuw,800,NA
Bulgaria,Burgas,800,NA
Bulgaria,Kolarovgrad,800,NA
Bulgaria,Lom,800,NA
Bulgaria,Lovec,800,NA
Bulgaria,Nikopol,800,NA
Bulgaria,Omurtag,800,NA
Bulgaria,Pleven,800,NA
Bulgaria,Plovdiv,800,NA
Bulgaria,Preslav,800,30
Bulgaria,Razgrad,800,NA
Bulgaria,Ruse,800,NA
Bulgaria,Sevlievo,800,NA
Bulgaria,Silistra,800,NA
Bulgaria,Sliven,800,NA
Bulgaria,Sofija,800,NA
Bulgaria,Stara Zagora,800,NA
Bulgaria,Svistov,800,NA
Bulgaria,Tatar-Pazardzik,800,NA
Bulgaria,Tutrakan,800,NA
Bulgaria,Varna,800,NA
Bulgaria,Veliko Turnovo,800,NA
Bulgaria,Vidin,800,NA
Czechoslovakia,Banska Bystrica,800,NA
Czechoslovakia,Banska Stiavnica,800,NA
Czechoslovakia,Bratislava,800,NA
Czechoslovakia,Brezova,800,NA
Czechoslovakia,Brno,800,NA
Czechoslovakia,Ceske Budejovice,800,NA
Czechoslovakia,Cesky Tesin,800,NA
Czechoslovakia,Cheb,800,NA
Czechoslovakia,Eperjes,800,NA
Czechoslovakia,Ersekujvar,800,NA
Czechoslovakia,Gelnica,800,NA
Czechoslovakia,Iglo,800,NA
Czechoslovakia,Jihlava,800,NA
Czechoslovakia,Kolin,800,NA
Czechoslovakia,Komarno,800,NA
Czechoslovakia,Kosice,800,NA
Czechoslovakia,Kremnica,800,NA
Czechoslovakia,Kutna Hora,800,NA
Czechoslovakia,Levoca,800,NA
Czechoslovakia,Liberec,800,NA
Czechoslovakia,Litomerice,800,NA
Czechoslovakia,Marianske Lazne,800,NA
Czechoslovakia,Mikulov,800,NA
Czechoslovakia,Myjava,800,NA
Czechoslovakia,Nitra,800,NA
Czechoslovakia,Olomouc,800,NA
Czechoslovakia,Opava,800,NA
Czechoslovakia,Ostrava,800,NA
Czechoslovakia,Plzen,800,NA
Czechoslovakia,Praha,800,NA
Czechoslovakia,Prostejov,800,NA
Czechoslovakia,Skalica,800,NA
Czechoslovakia,Sternberk,800,NA
Czechoslovakia,Trnava,800,NA
Czechoslovakia,Vratz,800,NA
Czechoslovakia,Znojmo,800,NA
Denmark,Aalborg,800,NA
Denmark,Aarhus,800,NA
Denmark,Helsingor,800,NA
Denmark,Kobenhavn,800,NA
Denmark,Odense,800,NA
Denmark,Randers,800,NA
Denmark,Ribe,800,NA
Denmark,Roskilde,800,NA
Denmark,Svendborg,800,NA
Denmark,Viborg,800,NA
Finland,Haemeenlinna,800,NA
Finland,Helsinki,800,NA
Finland,Kuopio,800,NA
Finland,Oulu,800,NA
Finland,Pori,800,NA
Finland,Tampere,800,NA
Finland,Turku,800,NA
Finland,Vaasa,800,NA
France,Abbeville,800,NA
France,Agde,800,NA
France,Agen,800,NA
France,Aire,800,NA
France,Aix,800,NA
France,Ajaccio,800,NA
France,Albi,800,NA
France,Alencon,800,NA
France,Ales,800,NA
France,Ambert,800,NA
France,Amboise,800,NA
France,Amiens,800,NA
France,Anduze,800,NA
France,Angers,800,NA
France,Angouleme,800,NA
France,Annecy,800,NA
France,Annonay,800,NA
France,Antibes,800,NA
France,Apt,800,NA
France,Arbois,800,NA
France,Argentan,800,NA
France,Argenteuil,800,NA
France,Arles,800,NA
France,Armentieres,800,NA
France,Arras,800,NA
France,Aubagne,800,NA
France,Auch,800,NA
France,Aurillac,800,NA
France,Autun,800,NA
France,Auxerre,800,NA
France,Avallon,800,NA
France,Avignon,800,NA
France,Avranches,800,NA
France,Bagneres-De-Bigorre,800,NA
France,Bagnols,800,NA
France,Bailleul,800,NA
France,Barcelonnette,800,NA
France,Bar-Le-Duc,800,NA
France,Bastia,800,NA
France,Bayeux,800,NA
France,Bayonne,800,NA
France,Beaucaire,800,NA
France,Beaugency,800,NA
France,Beaune,800,NA
France,Beauvais,800,NA
France,Bedarrieux,800,NA
France,Belfort,800,NA
France,Bergerac,800,NA
France,Bergues,800,NA
France,Bernay,800,NA
France,Besancon,800,NA
France,Bethune,800,NA
France,Beziers,800,NA
France,Billom,800,NA
France,Blois,800,NA
France,Bonifacio,800,NA
France,Bonnetable,800,NA
France,Bordeaux,800,NA
France,Boulogne,800,NA
France,Bourbourg,800,NA
France,Bourg-En-Bresse,800,NA
France,Bourges,800,NA
France,Brest,800,NA
France,Brignoles,800,NA
France,Brioude,800,NA
France,Brive,800,NA
France,Brouage,800,NA
France,Caen,800,NA
France,Cahors,800,NA
France,Calais,800,NA
France,Cambrai,800,NA
France,Cannes,800,NA
France,Carcassonne,800,NA
France,Carpentras,800,NA
France,Castelnaudary,800,NA
France,Castelsarrasin,800,NA
France,Castres,800,NA
France,Cavaillon,800,NA
France,Chalons-Sur-Marne,800,NA
France,Chalon-Sur-Saone,800,NA
France,Chambery,800,NA
France,Charleville,800,NA
France,Chartres,800,NA
France,Chateaudun,800,NA
France,Chateau-Gontier,800,NA
France,Chateauroux,800,NA
France,Chatellerault,800,NA
France,Chaumont,800,NA
France,Cherbourg,800,NA
France,Chinon,800,NA
France,Cholet,800,NA
France,Clamecy,800,NA
France,Clermont-Ferrand,800,NA
France,Clermont-L'herault,800,NA
France,Cluny,800,NA
France,Colmar,800,NA
France,Comines,800,NA
France,Compiegne,800,NA
France,Conde-Sur-L'escaut,800,NA
France,Conde-Sur-Noireau,800,NA
France,Condom,800,NA
France,Condrieu,800,NA
France,Corte,800,NA
France,Cosne,800,NA
France,Coulommiers,800,NA
France,Coutances,800,NA
France,Cuers,800,NA
France,Darnetal,800,NA
France,Dax,800,NA
France,Die,800,NA
France,Dieppe,800,NA
France,Digne,800,NA
France,Dijon,800,NA
France,Dinan,800,NA
France,Dole,800,NA
France,Douai,800,NA
France,Draguignan,800,NA
France,Dreux,800,NA
France,Dunkerque,800,NA
France,Elbeuf,800,NA
France,Epernay,800,NA
France,Epinal,800,NA
France,Etampes,800,NA
France,Eu,800,NA
France,Evreux,800,NA
France,Falaise,800,NA
France,Fecamp,800,NA
France,Figeac,800,NA
France,Fontainebleau,800,NA
France,Fontenay-Le-Comte,800,NA
France,Fougeres,800,NA
France,Gaillac,800,NA
France,Gap,800,NA
France,Gentilly,800,NA
France,Givors,800,NA
France,Granville,800,NA
France,Grasse,800,NA
France,Gray,800,NA
France,Grenoble,800,NA
France,Guerande,800,NA
France,Guingamp,800,NA
France,Haguenau,800,NA
France,Hasparren,800,NA
France,Hazebrouck,800,NA
France,Herbault,800,NA
France,Hesdin,800,NA
France,Hondschoote,800,NA
France,Honfleur,800,NA
France,Hyeres,800,NA
France,Issoire,800,NA
France,Issoudun,800,NA
France,Joigny,800,NA
France,La Charite-Sur-Loire,800,NA
France,La Ciotat,800,NA
France,La Fleche,800,NA
France,La Rochelle,800,NA
France,La Seyne-Sur-Mer,800,NA
France,Laigle,800,NA
France,Langres,800,NA
France,Laon,800,NA
France,Laval,800,NA
France,Lavaur,800,NA
France,Le Blanc,800,NA
France,Le Cateau,800,NA
France,Le Creusot,800,NA
France,Le Croisic,800,NA
France,Le Havre,800,NA
France,Le Mans,800,NA
France,Le Puy,800,NA
France,Lectoure,800,NA
France,Lens,800,NA
France,Les Sables-D'olonne,800,NA
France,Libourne,800,NA
France,Lille,800,NA
France,Limoges,800,NA
France,Limoux,800,NA
France,Lisieux,800,NA
France,Loches,800,NA
France,Lodeve,800,NA
France,Lons-Le-Saunier,800,NA
France,Lorient,800,NA
France,Loudun,800,NA
France,Lourdes,800,NA
France,Louviers,800,NA
France,Lunel,800,NA
France,Luneville,800,NA
France,Luxeuil,800,NA
France,Lyon,800,12
France,Macon,800,NA
France,Mamers,800,NA
France,Manosque,800,NA
France,Marmande,800,NA
France,Marseille,800,NA
France,Martigues,800,NA
France,Maubeuge,800,NA
France,Mayenne,800,NA
France,Meaux,800,NA
France,Melun,800,NA
France,Mende,800,NA
France,Metz,800,25
France,Meudon,800,NA
France,Millau,800,NA
France,Mirecourt,800,NA
France,Moissac,800,NA
France,Montargis,800,NA
France,Montauban,800,NA
France,Montbeliard,800,NA
France,Montbrison,800,NA
France,Montceau-Les-Mines,800,NA
France,Mont-De-Marsan,800,NA
France,Montelimar,800,NA
France,Montlucon,800,NA
France,Montpellier,800,NA
France,Montreuil,800,NA
France,Morlaix,800,NA
France,Moulins,800,NA
France,Mulhouse,800,NA
France,Nancy,800,NA
France,Nantes,800,NA
France,Narbonne,800,NA
France,Nerac,800,NA
France,Nevers,800,NA
France,Nice,800,NA
France,Nimes,800,NA
France,Niort,800,NA
France,Nogent-Le-Rotrou,800,NA
France,Noyon,800,NA
France,Obernai,800,NA
France,Oloron-Ste-Marie,800,NA
France,Orange,800,NA
France,Orleans,800,NA
France,Orthez,800,NA
France,Pamiers,800,NA
France,Paris,800,25
France,Pau,800,NA
France,Perigueux,800,NA
France,Perpignan,800,NA
France,Pezenas,800,NA
France,Ploermel,800,NA
France,Poitiers,800,10
France,Poligny,800,NA
France,Pont-A-Mousson,800,NA
France,Pont-Audemer,800,NA
France,Pontoise,800,NA
France,Provins,800,10
France,Quimper,800,NA
France,Quimperle,800,NA
France,Rambervillers,800,NA
France,Reims,800,20
France,Rennes,800,10
